"Value","Date"
582950,"2019-01-01 00:00:00"
742199,"2019-01-02 00:00:00"
787765,"2019-01-03 00:00:00"
796010,"2019-01-04 00:00:00"
721030,"2019-01-05 00:00:00"
661772,"2019-01-06 00:00:00"
764921,"2019-01-07 00:00:00"
844559,"2019-01-08 00:00:00"
846151,"2019-01-09 00:00:00"
857323,"2019-01-10 00:00:00"
867182,"2019-01-11 00:00:00"
775171,"2019-01-12 00:00:00"
722271,"2019-01-13 00:00:00"
835752,"2019-01-14 00:00:00"
846246,"2019-01-15 00:00:00"
847912,"2019-01-16 00:00:00"
849876,"2019-01-17 00:00:00"
848782,"2019-01-18 00:00:00"
766538,"2019-01-19 00:00:00"
705583,"2019-01-20 00:00:00"
828407,"2019-01-21 00:00:00"
864855,"2019-01-22 00:00:00"
854462,"2019-01-23 00:00:00"
837076,"2019-01-24 00:00:00"
815350,"2019-01-25 00:00:00"
724205,"2019-01-26 00:00:00"
678249,"2019-01-27 00:00:00"
807644,"2019-01-28 00:00:00"
832617,"2019-01-29 00:00:00"
829785,"2019-01-30 00:00:00"
823511,"2019-01-31 00:00:00"
811408,"2019-02-01 00:00:00"
739149,"2019-02-02 00:00:00"
696030,"2019-02-03 00:00:00"
827866,"2019-02-04 00:00:00"
826264,"2019-02-05 00:00:00"
813527,"2019-02-06 00:00:00"
805445,"2019-02-07 00:00:00"
799020,"2019-02-08 00:00:00"
719404,"2019-02-09 00:00:00"
672446,"2019-02-10 00:00:00"
781692,"2019-02-11 00:00:00"
799138,"2019-02-12 00:00:00"
797839,"2019-02-13 00:00:00"
794299,"2019-02-14 00:00:00"
790638,"2019-02-15 00:00:00"
706487,"2019-02-16 00:00:00"
656688,"2019-02-17 00:00:00"
779647,"2019-02-18 00:00:00"
789998,"2019-02-19 00:00:00"
785631,"2019-02-20 00:00:00"
781136,"2019-02-21 00:00:00"
771083,"2019-02-22 00:00:00"
689176,"2019-02-23 00:00:00"
637453,"2019-02-24 00:00:00"
750832,"2019-02-25 00:00:00"
759698,"2019-02-26 00:00:00"
756325,"2019-02-27 00:00:00"
742210,"2019-02-28 00:00:00"
747742,"2019-03-01 00:00:00"
670243,"2019-03-02 00:00:00"
621445,"2019-03-03 00:00:00"
729814,"2019-03-04 00:00:00"
745164,"2019-03-05 00:00:00"
767458,"2019-03-06 00:00:00"
758178,"2019-03-07 00:00:00"
748569,"2019-03-08 00:00:00"
671315,"2019-03-09 00:00:00"
617759,"2019-03-10 00:00:00"
726454,"2019-03-11 00:00:00"
743155,"2019-03-12 00:00:00"
753373,"2019-03-13 00:00:00"
753976,"2019-03-14 00:00:00"
738754,"2019-03-15 00:00:00"
660072,"2019-03-16 00:00:00"
610230,"2019-03-17 00:00:00"
708116,"2019-03-18 00:00:00"
707250,"2019-03-19 00:00:00"
755635,"2019-03-20 00:00:00"
758932,"2019-03-21 00:00:00"
749138,"2019-03-22 00:00:00"
669633,"2019-03-23 00:00:00"
611820,"2019-03-24 00:00:00"
717074,"2019-03-25 00:00:00"
732395,"2019-03-26 00:00:00"
735314,"2019-03-27 00:00:00"
736120,"2019-03-28 00:00:00"
733688,"2019-03-29 00:00:00"
661273,"2019-03-30 00:00:00"
595456,"2019-03-31 00:00:00"
728854,"2019-04-01 00:00:00"
740720,"2019-04-02 00:00:00"
743726,"2019-04-03 00:00:00"
746532,"2019-04-04 00:00:00"
758884,"2019-04-05 00:00:00"
683346,"2019-04-06 00:00:00"
635743,"2019-04-07 00:00:00"
745947,"2019-04-08 00:00:00"
762515,"2019-04-09 00:00:00"
759373,"2019-04-10 00:00:00"
754594,"2019-04-11 00:00:00"
737504,"2019-04-12 00:00:00"
658751,"2019-04-13 00:00:00"
606715,"2019-04-14 00:00:00"
705652,"2019-04-15 00:00:00"
712913,"2019-04-16 00:00:00"
706896,"2019-04-17 00:00:00"
633645,"2019-04-18 00:00:00"
584929,"2019-04-19 00:00:00"
598281,"2019-04-20 00:00:00"
575851,"2019-04-21 00:00:00"
622893,"2019-04-22 00:00:00"
691440,"2019-04-23 00:00:00"
737863,"2019-04-24 00:00:00"
739948,"2019-04-25 00:00:00"
722352,"2019-04-26 00:00:00"
641477,"2019-04-27 00:00:00"
580035,"2019-04-28 00:00:00"
681641,"2019-04-29 00:00:00"
693188,"2019-04-30 00:00:00"
588784,"2019-05-01 00:00:00"
674320,"2019-05-02 00:00:00"
696475,"2019-05-03 00:00:00"
634766,"2019-05-04 00:00:00"
585505,"2019-05-05 00:00:00"
691903,"2019-05-06 00:00:00"
715282,"2019-05-07 00:00:00"
720383,"2019-05-08 00:00:00"
719680,"2019-05-09 00:00:00"
714706,"2019-05-10 00:00:00"
642894,"2019-05-11 00:00:00"
589066,"2019-05-12 00:00:00"
693194,"2019-05-13 00:00:00"
716086,"2019-05-14 00:00:00"
714404,"2019-05-15 00:00:00"
723608,"2019-05-16 00:00:00"
708066,"2019-05-17 00:00:00"
633582,"2019-05-18 00:00:00"
588761,"2019-05-19 00:00:00"
693266,"2019-05-20 00:00:00"
712268,"2019-05-21 00:00:00"
720423,"2019-05-22 00:00:00"
721033,"2019-05-23 00:00:00"
717689,"2019-05-24 00:00:00"
641713,"2019-05-25 00:00:00"
586296,"2019-05-26 00:00:00"
703430,"2019-05-27 00:00:00"
723790,"2019-05-28 00:00:00"
722529,"2019-05-29 00:00:00"
719644,"2019-05-30 00:00:00"
720746,"2019-05-31 00:00:00"
657043,"2019-06-01 00:00:00"
610076,"2019-06-02 00:00:00"
727171,"2019-06-03 00:00:00"
743770,"2019-06-04 00:00:00"
727971,"2019-06-05 00:00:00"
718944,"2019-06-06 00:00:00"
716112,"2019-06-07 00:00:00"
649040,"2019-06-08 00:00:00"
598235,"2019-06-09 00:00:00"
692918,"2019-06-10 00:00:00"
717556,"2019-06-11 00:00:00"
721636,"2019-06-12 00:00:00"
725089,"2019-06-13 00:00:00"
720655,"2019-06-14 00:00:00"
27132.3,"2019-06-15 00:00:00"
574721,"2020-01-01 00:00:00"
723478,"2020-01-02 00:00:00"
754804,"2020-01-03 00:00:00"
702360,"2020-01-04 00:00:00"
651928,"2020-01-05 00:00:00"
630113,"2020-01-06 00:00:00"
788898,"2020-01-07 00:00:00"
819959,"2020-01-08 00:00:00"
820656,"2020-01-09 00:00:00"
814632,"2020-01-10 00:00:00"
732418,"2020-01-11 00:00:00"
693268,"2020-01-12 00:00:00"
828985,"2020-01-13 00:00:00"
844324,"2020-01-14 00:00:00"
832846,"2020-01-15 00:00:00"
822608,"2020-01-16 00:00:00"
807399,"2020-01-17 00:00:00"
729480,"2020-01-18 00:00:00"
689630,"2020-01-19 00:00:00"
845905,"2020-01-20 00:00:00"
862094,"2020-01-21 00:00:00"
841221,"2020-01-22 00:00:00"
829231,"2020-01-23 00:00:00"
820898,"2020-01-24 00:00:00"
734065,"2020-01-25 00:00:00"
676177,"2020-01-26 00:00:00"
807055,"2020-01-27 00:00:00"
805945,"2020-01-28 00:00:00"
791110,"2020-01-29 00:00:00"
776975,"2020-01-30 00:00:00"
764992,"2020-01-31 00:00:00"
681452,"2020-02-01 00:00:00"
624989,"2020-02-02 00:00:00"
729342,"2020-02-03 00:00:00"
747766,"2020-02-04 00:00:00"
758854,"2020-02-05 00:00:00"
769763,"2020-02-06 00:00:00"
772479,"2020-02-07 00:00:00"
698201,"2020-02-08 00:00:00"
646778,"2020-02-09 00:00:00"
749451,"2020-02-10 00:00:00"
760646,"2020-02-11 00:00:00"
766014,"2020-02-12 00:00:00"
759505,"2020-02-13 00:00:00"
753815,"2020-02-14 00:00:00"
675763,"2020-02-15 00:00:00"
625446,"2020-02-16 00:00:00"
739635,"2020-02-17 00:00:00"
766043,"2020-02-18 00:00:00"
764240,"2020-02-19 00:00:00"
763299,"2020-02-20 00:00:00"
753732,"2020-02-21 00:00:00"
672049,"2020-02-22 00:00:00"
620837,"2020-02-23 00:00:00"
730820,"2020-02-24 00:00:00"
743806,"2020-02-25 00:00:00"
753410,"2020-02-26 00:00:00"
751124,"2020-02-27 00:00:00"
728274,"2020-02-28 00:00:00"
670250,"2020-02-29 00:00:00"
626587,"2020-03-01 00:00:00"
740452,"2020-03-02 00:00:00"
767922,"2020-03-03 00:00:00"
757560,"2020-03-04 00:00:00"
752879,"2020-03-05 00:00:00"
756351,"2020-03-06 00:00:00"
681845,"2020-03-07 00:00:00"
628758,"2020-03-08 00:00:00"
738706,"2020-03-09 00:00:00"
745855,"2020-03-10 00:00:00"
740762,"2020-03-11 00:00:00"
736364,"2020-03-12 00:00:00"
728092,"2020-03-13 00:00:00"
644700,"2020-03-14 00:00:00"
598723,"2020-03-15 00:00:00"
702588,"2020-03-16 00:00:00"
703780,"2020-03-17 00:00:00"
683062,"2020-03-18 00:00:00"
640186,"2020-03-19 00:00:00"
645430,"2020-03-20 00:00:00"
610836,"2020-03-21 00:00:00"
581606,"2020-03-22 00:00:00"
651290,"2020-03-23 00:00:00"
662046,"2020-03-24 00:00:00"
662589,"2020-03-25 00:00:00"
658767,"2020-03-26 00:00:00"
664825,"2020-03-27 00:00:00"
603212,"2020-03-28 00:00:00"
537245,"2020-03-29 00:00:00"
604448,"2020-03-30 00:00:00"
604859,"2020-03-31 00:00:00"
598365,"2020-04-01 00:00:00"
597333,"2020-04-02 00:00:00"
583171,"2020-04-03 00:00:00"
541558,"2020-04-04 00:00:00"
517700,"2020-04-05 00:00:00"
567321,"2020-04-06 00:00:00"
566454,"2020-04-07 00:00:00"
554076,"2020-04-08 00:00:00"
529108,"2020-04-09 00:00:00"
509729,"2020-04-10 00:00:00"
517352,"2020-04-11 00:00:00"
499752,"2020-04-12 00:00:00"
536625,"2020-04-13 00:00:00"
582375,"2020-04-14 00:00:00"
601814,"2020-04-15 00:00:00"
601730,"2020-04-16 00:00:00"
596044,"2020-04-17 00:00:00"
550200,"2020-04-18 00:00:00"
517179,"2020-04-19 00:00:00"
582802,"2020-04-20 00:00:00"
607392,"2020-04-21 00:00:00"
606143,"2020-04-22 00:00:00"
597168,"2020-04-23 00:00:00"
592162,"2020-04-24 00:00:00"
553588,"2020-04-25 00:00:00"
519878,"2020-04-26 00:00:00"
588388,"2020-04-27 00:00:00"
599415,"2020-04-28 00:00:00"
597619,"2020-04-29 00:00:00"
590233,"2020-04-30 00:00:00"
523008,"2020-05-01 00:00:00"
526920,"2020-05-02 00:00:00"
507065,"2020-05-03 00:00:00"
583062,"2020-05-04 00:00:00"
605000,"2020-05-05 00:00:00"
608228,"2020-05-06 00:00:00"
603849,"2020-05-07 00:00:00"
596940,"2020-05-08 00:00:00"
546886,"2020-05-09 00:00:00"
513241,"2020-05-10 00:00:00"
590740,"2020-05-11 00:00:00"
616248,"2020-05-12 00:00:00"
615176,"2020-05-13 00:00:00"
618387,"2020-05-14 00:00:00"
606696,"2020-05-15 00:00:00"
553431,"2020-05-16 00:00:00"
516969,"2020-05-17 00:00:00"
594321,"2020-05-18 00:00:00"
612679,"2020-05-19 00:00:00"
620107,"2020-05-20 00:00:00"
627706,"2020-05-21 00:00:00"
630603,"2020-05-22 00:00:00"
579189,"2020-05-23 00:00:00"
538098,"2020-05-24 00:00:00"
624823,"2020-05-25 00:00:00"
640116,"2020-05-26 00:00:00"
643185,"2020-05-27 00:00:00"
639557,"2020-05-28 00:00:00"
638401,"2020-05-29 00:00:00"
579806,"2020-05-30 00:00:00"
536343,"2020-05-31 00:00:00"
629145,"2020-06-01 00:00:00"
656727,"2020-06-02 00:00:00"
664154,"2020-06-03 00:00:00"
652985,"2020-06-04 00:00:00"
642918,"2020-06-05 00:00:00"
585374,"2020-06-06 00:00:00"
538702,"2020-06-07 00:00:00"
623672,"2020-06-08 00:00:00"
644278,"2020-06-09 00:00:00"
655647,"2020-06-10 00:00:00"
652471,"2020-06-11 00:00:00"
649040,"2020-06-12 00:00:00"
584371,"2020-06-13 00:00:00"
544088,"2020-06-14 00:00:00"
23045.7,"2020-06-15 00:00:00"
